hash,search_model,ncoeff,n_train,test_energy_mae_per_atom_eV,test_energy_rmse_per_atom_eV,fit_time_s,meets_all_criteria,error_from_fit,rcut,regularization,weight_energy,weight_force,bessel_polynomial_degree,inverse_polynomial_degree,two_body_radial,three_body_radial,three_body_angular,four_body_radial,four_body_angular,five_body_radial,five_body_angular,six_body_radial,six_body_angular,seven_body_radial,seven_body_angular,tblg_21.78_converged,tblg_21.78_fmax_initial,tblg_21.78_fmax_after,tblg_21.78_ab_separation,tblg_21.78_aa_separation,tblg_21.78_sep_min,tblg_21.78_sep_max,tblg_21.78_ab_in_target,tblg_21.78_aa_in_target,tblg_21.78_sep_min_in_target,tblg_21.78_sep_max_in_target,tblg_21.78_ab_lt_aa,tblg_21.78_separations_ok,tblg_21.78_error,tblg_9.43_converged,tblg_9.43_fmax_initial,tblg_9.43_fmax_after,tblg_9.43_ab_separation,tblg_9.43_aa_separation,tblg_9.43_sep_min,tblg_9.43_sep_max,tblg_9.43_ab_in_target,tblg_9.43_aa_in_target,tblg_9.43_sep_min_in_target,tblg_9.43_sep_max_in_target,tblg_9.43_ab_lt_aa,tblg_9.43_separations_ok,tblg_9.43_error
2e61082622650601,POD_energy,57,988,0.0004992830419755,0.0010904377003904,15.71427297592163,True,,6.0,1e-12,1000.0,0.0,8,12,6,6,6,2,2,0,0,0,0,0,0,True,0.0561185049088835,0.000940404270296,3.4578367670697965,3.473489595981522,3.457836767069786,3.473489595981526,True,True,True,True,True,True,,True,0.0539998926523612,0.0009867454084955,3.3316996642723105,3.741126159450108,3.3316996642722927,3.7411261594501113,True,True,True,True,True,True,
5398842783a6b2b8,POD_energy,41,988,0.0006531573550375,0.0022171050494484,7.428024530410767,True,,6.0,1e-12,1000.0,0.0,8,12,12,4,4,2,2,0,0,0,0,0,0,True,0.067641829180937,0.000900769439641,3.4806466223481287,3.497145116258551,3.480646622348104,3.497145116258565,True,True,True,True,True,True,,True,0.0656718428813964,0.0007950705663518,3.432536061404935,3.5940645859599627,3.432536061404932,3.59406458595997,True,True,True,True,True,True,
dfed7cfed76d5e03,POD_energy,70,988,0.0003145428456274,0.0008922965855624,14.606268882751465,True,,6.0,1e-12,1000.0,0.0,8,12,11,10,4,2,2,0,0,0,0,0,0,True,0.0633924747398072,0.0009925187095685,3.4724755838153314,3.487701645965469,3.4724755838153314,3.48770164596548,True,True,True,True,True,True,,True,0.0640744819998982,0.0009968422555151,3.451768846650392,3.537967584470774,3.4517688466503884,3.5379675844707776,True,True,True,True,True,True,
a0f11bc934ca52ce,POD_energy,45,988,0.0005015417514574,0.0008043439539713,9.443605661392212,True,,6.0,1e-12,1000.0,0.0,8,12,6,6,4,2,2,0,0,0,0,0,0,True,0.0650502955136687,0.00096358512625,3.4635716105388425,3.4803656532037266,3.4635716105388283,3.4803656532037337,True,True,True,True,True,True,,True,0.0572417751352952,0.0009985788784303,3.363219949596239,3.673074017424273,3.3632199495962283,3.673074017424277,True,True,True,True,True,True,
c15be5453709b923,POD_energy,48,988,0.0004394545986009,0.0008398696261011,9.855913639068604,True,,6.0,1e-12,1000.0,0.0,8,12,9,6,4,2,2,0,0,0,0,0,0,True,0.0652969441820664,0.0009594851418026,3.4624176148596177,3.4801951981186185,3.4624176148596035,3.480195198118622,True,True,True,True,True,True,,True,0.0653912945468077,0.0009884983041993,3.286346123040623,3.812216754262821,3.286346123040623,3.8122167542628342,True,True,True,True,True,True,
9081b85f836d43f0,POD_energy,59,988,0.0003925002286273,0.0006855077805183,15.366137742996216,True,,6.0,1e-12,1000.0,0.0,8,12,8,6,6,2,2,0,0,0,0,0,0,True,0.0631314777918686,0.0009273612785017,3.46233787256444,3.4801832564032225,3.4623378725644187,3.480183256403244,True,True,True,True,True,True,,True,0.0670350971814932,0.0009930565903866,3.2469289746637067,3.967956632551573,3.246928974663703,3.967956632551598,True,True,True,True,True,True,
8bba0bbcbbfccbcc,POD_energy,40,1061,0.0017680476210302,0.0165465570953363,14.142395734786987,False,,7.0,1e-12,1000.0,0.0,8,12,11,4,4,2,2,0,0,0,0,0,0,True,0.0553692933906689,0.000913012606263,3.470429068251605,3.480864973156798,3.470429068251605,3.4808649731568124,True,True,True,True,True,True,,True,0.0616331111674535,0.0009555591849893,2.778031762407341,4.334856314925727,2.7780317624073305,4.33485631492573,False,False,False,False,True,False,
43c488229022b560,POD_energy,47,1061,0.0009271779812651,0.0041856769074225,14.087018728256226,False,,7.0,1e-12,1000.0,0.0,8,12,8,6,4,2,2,0,0,0,0,0,0,True,0.0603805757752831,0.0008537431901098,3.4764661477629915,3.489093287081772,3.4764661477629843,3.489093287081793,True,True,True,True,True,True,,True,0.0656462854640737,0.0009727217669905,2.695840198542776,4.29908760188458,2.695840198542236,4.29908760188458,False,False,False,False,True,False,
1efe6d517ffa4d93,POD_energy,51,1061,0.0011904664090154,0.0101608701023699,18.59577465057373,True,,7.0,1e-12,1000.0,0.0,8,12,12,6,4,2,2,0,0,0,0,0,0,True,0.0574353243218879,0.0009721112853929,3.452696223562551,3.4696755423929915,3.4526962235625405,3.4696755423929915,True,True,True,True,True,True,,True,0.0621887128976766,0.0009995261014056,3.4265900252055843,3.526317876139622,3.4265900252055843,3.526317876139622,True,True,True,True,True,True,
b6c72aa6d31848d0,POD_energy,77,1061,0.0003883486970611,0.0019049465897829,30.22353291511536,True,,7.0,1e-12,1000.0,0.0,8,12,12,8,6,2,2,0,0,0,0,0,0,True,0.0524975170773467,0.0009263535345014,3.4583804347489284,3.4729532429585888,3.4583804347489178,3.4729532429585888,True,True,True,True,True,True,,True,0.0599463605315884,0.0009939428222867,3.4404625111046307,3.520955191830179,3.440462511104627,3.5209551918301827,True,True,True,True,True,True,
4b88a52de74d5df4,POD_energy,112,1061,0.0004154313421343,0.0036016552813291,75.94818711280823,True,,7.0,1e-12,1000.0,0.0,8,12,13,10,8,2,2,0,0,0,0,0,0,True,0.0536122884211046,0.0009667959853424,3.463421723664659,3.4683423691870416,3.463421723664652,3.4683423691870487,True,True,True,True,True,True,,True,0.0536927333193159,0.0009991098471546,3.4444716479201567,3.516495187670884,3.444471647920146,3.516495187670891,True,True,True,True,True,True,
bd8ab753106c4d8e,POD_energy,90,1061,0.0002685036896394,0.0006633315169811,51.99550342559815,True,,7.0,1e-12,1000.0,0.0,8,12,9,8,8,2,2,0,0,0,0,0,0,True,0.0531699608918633,0.0008721447287148,3.4611392946037363,3.4714732431213875,3.4611392946037327,3.4714732431213946,True,True,True,True,True,True,,True,0.0596163329443715,0.0009932918641636,3.4433386031581144,3.518932719468687,3.443338603158111,3.518932719468694,True,True,True,True,True,True,
931c1b5c6e5189bd,POD_energy,58,1061,0.0007517767251447,0.0038472442636916,25.0123872756958,True,,7.0,1e-12,1000.0,0.0,8,12,7,6,6,2,2,0,0,0,0,0,0,True,0.0437536815416566,0.0008990129390471,3.463902889613649,3.473321883887351,3.4639028896136423,3.473321883887351,True,True,True,True,True,True,,True,0.0543349984928706,0.0009965179147972,3.42738691779763,3.544658227097319,3.4273869177976266,3.5446582270973224,True,True,True,True,True,True,
3c581e81d4fbba9e,POD_energy,72,1061,0.0003984512593125,0.0014448953700685,22.319599151611328,True,,7.0,1e-12,1000.0,0.0,8,12,13,10,4,2,2,0,0,0,0,0,0,True,0.0563043586212277,0.0009008990780317,3.467314479584981,3.473105760370945,3.467314479584978,3.4731057603709488,True,True,True,True,True,True,,True,0.0758004513815093,0.0009964935379228,3.443348880333165,3.519565670918464,3.4433488803331613,3.5195656709184675,True,True,True,True,True,True,
2364379d3dc3a254,POD_energy,90,1061,0.0010186954552912,0.0122303112806822,32.46874666213989,True,,7.0,1e-12,1000.0,0.0,8,12,11,10,6,2,2,0,0,0,0,0,0,True,0.0381705919686591,0.0009806508773491,3.4624865781291554,3.4664162129362843,3.4624865781291447,3.466416212936288,True,True,True,True,True,True,,True,0.0513932025061106,0.0009546683909846,3.448969604090923,3.492630788535237,3.4489696040909195,3.4926307885352443,True,True,True,True,True,True,
f80bad462e29603b,POD_energy,91,1061,0.0002771963230467,0.0007362839289697,46.94096565246582,True,,7.0,1e-12,1000.0,0.0,8,12,10,8,8,2,2,0,0,0,0,0,0,True,0.0530592192208247,0.0008810710333372,3.4615080883645213,3.471713700647172,3.4615080883645177,3.471713700647172,True,True,True,True,True,True,,True,0.0596569254543568,0.0009971064479763,3.4438930642895365,3.51887416774018,3.443893064289533,3.51887416774018,True,True,True,True,True,True,
361ab3cb3536a1c8,POD_energy,93,1061,0.0007366227493029,0.0086971872499282,47.81713080406189,True,,7.0,1e-12,1000.0,0.0,8,12,12,8,8,2,2,0,0,0,0,0,0,True,0.0483186288738397,0.0009314172798493,3.468081618122241,3.476955678603449,3.468081618122227,3.476955678603453,True,True,True,True,True,True,,True,0.0561357439378965,0.0009886879653989,3.4469922073726598,3.5326836074075665,3.446992207372645,3.532683607407584,True,True,True,True,True,True,
53a220664571e803,POD_energy,62,1061,0.0006266516970321,0.0029324584070157,22.32312250137329,True,,7.0,1e-12,1000.0,0.0,8,12,11,6,6,2,2,0,0,0,0,0,0,True,0.0512131601592493,0.000989499925482,3.4745424979570387,3.486688526723121,3.474542497957032,3.486688526723128,True,True,True,True,True,True,,True,0.0573998611338727,0.0009999888767251,3.4480788160319342,3.533630367745417,3.4480788160319307,3.533630367745424,True,True,True,True,True,True,
0b48d1fbf4e2730c,POD_energy,61,1061,0.0005859139030917,0.0025815240038637,21.72807192802429,True,,7.0,1e-12,1000.0,0.0,8,12,10,6,6,2,2,0,0,0,0,0,0,True,0.0507866657128473,0.0009517066765026,3.472580570287221,3.485603087952203,3.4725805702871995,3.485603087952221,True,True,True,True,True,True,,True,0.0573979383666596,0.0009986022720213,3.4480233653817507,3.5284049475721275,3.448023365381744,3.5284049475721275,True,True,True,True,True,True,
6116d0d9704fb1a1,POD_energy,39,1061,0.0016851869724,0.0149179435780316,12.762349128723145,False,,7.0,1e-12,1000.0,0.0,8,12,10,4,4,2,2,0,0,0,0,0,0,True,0.0529740565263152,0.0008946579704651,3.4751456981341957,3.4837704103681126,3.4751456981341846,3.483770410368116,True,True,True,True,True,True,,True,0.0601292283988539,0.0009921094014465,2.966227475685088,4.078681165575208,2.966227475685073,4.078681165575212,False,False,False,False,True,False,
428d57e8d90d82e7,POD_energy,69,1061,0.0012687799153563,0.0139714726155884,18.81044578552246,True,,7.0,1e-12,1000.0,0.0,8,12,10,10,4,2,2,0,0,0,0,0,0,True,0.0696017077603017,0.0009734345093155,3.452201642179453,3.455217356635167,3.452201642179439,3.455217356635174,True,True,True,True,True,True,,True,0.0904657073172309,0.0009283547220143,3.435311831850268,3.4845949067877555,3.435311831850264,3.484594906787762,True,True,True,True,True,True,
8bb97b2162397248,POD_energy,61,1061,0.0007596961915807,0.0060233117836224,16.61913251876831,True,,7.0,1e-12,1000.0,0.0,8,12,12,8,4,2,2,0,0,0,0,0,0,True,0.0532280323882449,0.0009388854658331,3.4577223726514887,3.469151430571415,3.4577223726514674,3.4691514305714364,True,True,True,True,True,True,,True,0.0617410526488795,0.0009984204795472,3.440637711564566,3.517543696670586,3.4406377115645626,3.517543696670586,True,True,True,True,True,True,
a1fd07802634f533,POD_energy,62,1061,0.0005429912385164,0.00272708231734,16.9782395362854,True,,7.0,1e-12,1000.0,0.0,8,12,13,8,4,2,2,0,0,0,0,0,0,True,0.0527661199777467,0.0008236267174065,3.4648157123440377,3.477791934594805,3.464815712344034,3.477791934594812,True,True,True,True,True,True,,True,0.0605343016052722,0.0009873125665563,3.4427057026467907,3.527638771741124,3.4427057026467835,3.527638771741124,True,True,True,True,True,True,
6e0382b6ca1a27f9,POD_energy,42,1061,0.0022615480754522,0.0253233746598479,14.312881231307983,True,,7.0,1e-12,1000.0,0.0,8,12,13,4,4,2,2,0,0,0,0,0,0,True,0.0660400279847204,0.0009585738523691,3.46044679147262,3.4782795028231384,3.460446791472606,3.478279502823149,True,True,True,True,True,True,,True,0.0711247168873451,0.0009958491339949,3.351364052141669,3.685291270669069,3.351364052141669,3.685291270669069,True,True,True,True,True,True,
652f28f769cc26dd,POD_energy,46,1061,0.0007319530737253,0.0013905571941379,14.864297151565552,False,,7.0,1e-12,1000.0,0.0,8,12,7,6,4,2,2,0,0,0,0,0,0,True,0.06830235304883,0.0009883047394148,3.465542368095555,3.4794828116432197,3.465542368095541,3.47948281164323,True,True,True,True,True,True,,True,0.0761561843857766,0.0009888712628642,2.621096836449457,5.277425083833009,2.621096836449432,5.277425083833016,False,False,False,False,True,False,
